NM_001280889.2	Bombus terrestris acyl-CoA delta-9 desaturase (npve), mRNA
XM_020865925.2	PREDICTED: Bombus terrestris methionine aminopeptidase 2 (LOC100650975), mRNA
XM_020865926.2	PREDICTED: Bombus terrestris protocadherin-like wing polarity protein stan (LOC100650497), transcript variant X3, mRNA
XM_020865928.2	PREDICTED: Bombus terrestris innexin inx3 (LOC100650858), transcript variant X4, mRNA
XM_020865930.2	PREDICTED: Bombus terrestris uncharacterized LOC100650092 (LOC100650092), transcript variant X1, mRNA
XM_020865931.2	PREDICTED: Bombus terrestris uncharacterized LOC100650092 (LOC100650092), transcript variant X4, mRNA
XM_020865932.2	PREDICTED: Bombus terrestris pyrroline-5-carboxylate reductase 2 (LOC100646598), transcript variant X1, mRNA
XM_020865935.2	PREDICTED: Bombus terrestris pyrroline-5-carboxylate reductase 2 (LOC100646598), transcript variant X9, mRNA
XM_020865937.2	PREDICTED: Bombus terrestris uncharacterized LOC100646356 (LOC100646356), transcript variant X1, mRNA
XM_020865938.2	PREDICTED: Bombus terrestris haloacid dehalogenase-like hydrolase domain-containing protein 2 (LOC100646795), transcript variant X2, mRNA
XM_020865940.2	PREDICTED: Bombus terrestris pleckstrin homology domain-containing family M member 2 (LOC100649782), mRNA
XM_020865943.2	PREDICTED: Bombus terrestris transcription factor IIIB 90 kDa subunit (LOC100648486), transcript variant X2, mRNA
XM_020865946.2	PREDICTED: Bombus terrestris AP-1 complex subunit gamma-1 (LOC100648178), transcript variant X6, mRNA
XM_020865948.2	PREDICTED: Bombus terrestris AP-1 complex subunit gamma-1 (LOC100648178), transcript variant X1, mRNA
XM_020865949.2	PREDICTED: Bombus terrestris AP-1 complex subunit gamma-1 (LOC100648178), transcript variant X3, mRNA
XM_020865950.2	PREDICTED: Bombus terrestris zinc transporter ZIP9 (LOC100647749), transcript variant X2, mRNA
XM_020865951.2	PREDICTED: Bombus terrestris transmembrane protein KIAA1109 (LOC100652208), transcript variant X3, mRNA
XM_020865952.2	PREDICTED: Bombus terrestris keratin-associated protein 19-2 (LOC100642296), transcript variant X1, mRNA
XM_020865953.2	PREDICTED: Bombus terrestris retinoblastoma-like protein 1 (LOC100652133), transcript variant X4, mRNA
XM_020865954.2	PREDICTED: Bombus terrestris (Lyso)-N-acylphosphatidylethanolamine lipase (LOC100642294), transcript variant X5, mRNA
XM_020865955.2	PREDICTED: Bombus terrestris putative ribosome-binding factor A, mitochondrial (LOC100642414), mRNA
XM_020865957.2	PREDICTED: Bombus terrestris phosphoribosylformylglycinamidine synthase (LOC100648293), transcript variant X1, mRNA
XM_020865964.2	PREDICTED: Bombus terrestris uncharacterized LOC100649346 (LOC100649346), transcript variant X2, mRNA
XM_020865970.2	PREDICTED: Bombus terrestris stromal interaction molecule homolog (LOC100649108), transcript variant X4, mRNA
XM_020865972.2	PREDICTED: Bombus terrestris DCN1-like protein 5 (LOC100651380), transcript variant X4, mRNA
XM_020865974.2	PREDICTED: Bombus terrestris tau-tubulin kinase homolog Asator (LOC100646154), transcript variant X1, mRNA
XM_020865975.2	PREDICTED: Bombus terrestris tau-tubulin kinase homolog Asator (LOC100646154), transcript variant X2, mRNA
XM_020865976.2	PREDICTED: Bombus terrestris tau-tubulin kinase homolog Asator (LOC100646154), transcript variant X3, mRNA
XM_020865977.2	PREDICTED: Bombus terrestris tau-tubulin kinase homolog Asator (LOC100646154), transcript variant X5, mRNA
XM_020865979.2	PREDICTED: Bombus terrestris solute carrier family 2, facilitated glucose transporter member 1 (LOC100642581), transcript variant X4, mRNA
XM_020865980.2	PREDICTED: Bombus terrestris solute carrier family 2, facilitated glucose transporter member 1 (LOC100642581), transcript variant X5, mRNA
XM_020865981.2	PREDICTED: Bombus terrestris choline/ethanolamine kinase (LOC100647817), transcript variant X1, mRNA
XM_020865982.2	PREDICTED: Bombus terrestris uncharacterized LOC105666332 (LOC105666332), transcript variant X5, mRNA
XM_020865985.2	PREDICTED: Bombus terrestris protein dopey-1 homolog (LOC100644652), transcript variant X1, mRNA
XM_020865990.2	PREDICTED: Bombus terrestris elongation of very long chain fatty acids protein (LOC100652206), transcript variant X2, mRNA
XM_020865991.2	PREDICTED: Bombus terrestris NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7 (LOC100646553), transcript variant X2, mRNA
XM_020865993.2	PREDICTED: Bombus terrestris glucose-6-phosphate exchanger SLC37A2 (LOC100647909), transcript variant X2, mRNA
XM_020865994.2	PREDICTED: Bombus terrestris tetracycline resistance protein, class B (LOC100648223), transcript variant X1, mRNA
XM_020865995.2	PREDICTED: Bombus terrestris E3 ubiquitin-protein ligase FANCL (LOC100648110), transcript variant X2, mRNA
XM_020865998.2	PREDICTED: Bombus terrestris uncharacterized LOC110119773 (LOC110119773), mRNA
XM_020866004.2	PREDICTED: Bombus terrestris prolyl 4-hydroxylase subunit alpha-1 (LOC100645804), transcript variant X4, mRNA
XM_020866016.2	PREDICTED: Bombus terrestris adenosine deaminase-like protein (LOC100646977), transcript variant X1, mRNA
XM_020866017.2	PREDICTED: Bombus terrestris adenosine deaminase-like protein (LOC100646977), transcript variant X2, mRNA
XM_020866018.2	PREDICTED: Bombus terrestris nuclease SbcCD subunit C (LOC105666352), mRNA
XM_020866022.2	PREDICTED: Bombus terrestris laccase-4 (LOC100642533), transcript variant X2, mRNA
XM_020866025.2	PREDICTED: Bombus terrestris high-affinity choline transporter 1 (LOC100643981), transcript variant X1, mRNA
XM_020866027.2	PREDICTED: Bombus terrestris homeobox protein PKNOX2 (LOC100646481), transcript variant X1, mRNA
XM_020866028.2	PREDICTED: Bombus terrestris homeobox protein PKNOX2 (LOC100646481), transcript variant X2, mRNA
XM_020866030.2	PREDICTED: Bombus terrestris nicastrin (LOC100646358), transcript variant X4, mRNA
XM_020866032.2	PREDICTED: Bombus terrestris protein lin-54 homolog (LOC100651537), transcript variant X2, mRNA
XM_020866033.2	PREDICTED: Bombus terrestris uncharacterized LOC100643622 (LOC100643622), transcript variant X1, mRNA
XM_020866037.2	PREDICTED: Bombus terrestris protein shuttle craft (LOC100647077), transcript variant X6, mRNA
XM_020866039.2	PREDICTED: Bombus terrestris uncharacterized LOC100644976 (LOC100644976), transcript variant X1, mRNA
XM_020866041.2	PREDICTED: Bombus terrestris putative fatty acyl-CoA reductase CG5065 (LOC100644495), transcript variant X1, mRNA
XM_020866042.2	PREDICTED: Bombus terrestris putative fatty acyl-CoA reductase CG5065 (LOC100644495), transcript variant X2, mRNA
XM_020866044.2	PREDICTED: Bombus terrestris putative fatty acyl-CoA reductase CG5065 (LOC100644495), transcript variant X5, mRNA
XM_020866046.2	PREDICTED: Bombus terrestris prostaglandin reductase 1 (LOC110119173), transcript variant X1, mRNA
XM_020866047.2	PREDICTED: Bombus terrestris prostaglandin reductase 1 (LOC110119173), transcript variant X2, mRNA
XM_020866050.2	PREDICTED: Bombus terrestris pro-resilin (LOC100650250), transcript variant X1, mRNA
XM_020866051.2	PREDICTED: Bombus terrestris pro-resilin (LOC100650250), transcript variant X2, mRNA
XM_020866052.2	PREDICTED: Bombus terrestris ankyrin repeat domain-containing protein 39 (LOC100649550), mRNA
XM_020866053.2	PREDICTED: Bombus terrestris uncharacterized LOC110119780 (LOC110119780), transcript variant X2, mRNA
XM_020866054.2	PREDICTED: Bombus terrestris uncharacterized LOC110119780 (LOC110119780), transcript variant X1, mRNA
XM_020866056.2	PREDICTED: Bombus terrestris putative fatty acyl-CoA reductase CG8306 (LOC100645534), mRNA
XM_020866057.2	PREDICTED: Bombus terrestris putative fatty acyl-CoA reductase CG5065 (LOC100645343), transcript variant X1, mRNA
XM_020866058.2	PREDICTED: Bombus terrestris transcription elongation factor B polypeptide 3 (LOC100646238), transcript variant X2, mRNA
XM_020866059.2	PREDICTED: Bombus terrestris something about silencing protein 10 (LOC100645057), transcript variant X1, mRNA
XM_020866060.2	PREDICTED: Bombus terrestris nostrin (LOC100643213), transcript variant X2, mRNA
XM_020866061.2	PREDICTED: Bombus terrestris nostrin (LOC100643213), transcript variant X3, mRNA
XM_020866066.2	PREDICTED: Bombus terrestris glutamine-dependent NAD(+) synthetase (LOC100642895), transcript variant X2, mRNA
XM_020866070.2	PREDICTED: Bombus terrestris TIP41-like protein (LOC100651726), transcript variant X4, mRNA
XM_020866072.2	PREDICTED: Bombus terrestris upstream stimulatory factor 1 (LOC100644455), mRNA
XM_020866073.2	PREDICTED: Bombus terrestris uncharacterized LOC100645056 (LOC100645056), transcript variant X2, mRNA
XM_020866074.2	PREDICTED: Bombus terrestris uncharacterized LOC100645056 (LOC100645056), transcript variant X3, mRNA
XM_020866080.2	PREDICTED: Bombus terrestris uncharacterized LOC105666351 (LOC105666351), transcript variant X4, mRNA
XM_020866081.2	PREDICTED: Bombus terrestris uncharacterized LOC105666351 (LOC105666351), transcript variant X5, mRNA
XM_020866082.2	PREDICTED: Bombus terrestris sorting and assembly machinery component 50 homolog (LOC100646874), transcript variant X1, mRNA
XM_020866083.2	PREDICTED: Bombus terrestris anoctamin-1 (LOC100646632), transcript variant X3, mRNA
XM_020866085.2	PREDICTED: Bombus terrestris receptor-type guanylate cyclase gcy-3 (LOC100646922), transcript variant X1, mRNA
XM_020866087.2	PREDICTED: Bombus terrestris COP9 signalosome complex subunit 7b (LOC100648452), transcript variant X2, mRNA
XM_020866089.2	PREDICTED: Bombus terrestris uncharacterized LOC100650658 (LOC100650658), transcript variant X1, mRNA
XM_020866090.2	PREDICTED: Bombus terrestris probable serine/threonine-protein kinase MARK-A (LOC100645687), transcript variant X2, mRNA
XM_020866091.2	PREDICTED: Bombus terrestris armadillo segment polarity protein (LOC100643381), transcript variant X2, mRNA
XM_020866092.2	PREDICTED: Bombus terrestris atrial natriuretic peptide-converting enzyme (LOC100643501), transcript variant X1, mRNA
XM_020866093.2	PREDICTED: Bombus terrestris atrial natriuretic peptide-converting enzyme (LOC100643501), transcript variant X2, mRNA
XM_020866095.2	PREDICTED: Bombus terrestris atrial natriuretic peptide-converting enzyme (LOC100643501), transcript variant X3, mRNA
XM_020866096.2	PREDICTED: Bombus terrestris atrial natriuretic peptide-converting enzyme (LOC100643501), transcript variant X5, mRNA
XM_020866097.2	PREDICTED: Bombus terrestris pyridoxine/pyridoxamine 5'-phosphate oxidase (LOC100643625), transcript variant X1, mRNA
XM_020866098.2	PREDICTED: Bombus terrestris chondroitin sulfate synthase 1 (LOC100650898), transcript variant X3, mRNA
XM_020866099.2	PREDICTED: Bombus terrestris putative gamma-glutamylcyclotransferase CG2811 (LOC100651657), transcript variant X1, mRNA
XM_020866100.2	PREDICTED: Bombus terrestris putative gamma-glutamylcyclotransferase CG2811 (LOC100651657), transcript variant X2, mRNA
XM_020866101.2	PREDICTED: Bombus terrestris paired amphipathic helix protein Sin3a (LOC100648111), transcript variant X1, mRNA
XM_020866102.2	PREDICTED: Bombus terrestris neprilysin-4 (LOC100647872), transcript variant X2, mRNA
XM_020866103.2	PREDICTED: Bombus terrestris neprilysin-4 (LOC100647872), transcript variant X3, mRNA
XM_020866104.2	PREDICTED: Bombus terrestris mitochondrial tRNA-specific 2-thiouridylase 1 (LOC100647991), transcript variant X3, mRNA
XM_020866105.2	PREDICTED: Bombus terrestris mitochondrial tRNA-specific 2-thiouridylase 1 (LOC100647991), transcript variant X4, mRNA
XM_020866107.2	PREDICTED: Bombus terrestris glucose dehydrogenase [FAD, quinone] (LOC100652210), transcript variant X3, mRNA
XM_020866109.2	PREDICTED: Bombus terrestris protein tiptop (LOC100650416), transcript variant X1, mRNA
XM_020866116.2	PREDICTED: Bombus terrestris homeodomain-interacting protein kinase 2 (LOC100646216), transcript variant X3, mRNA
XM_020866117.2	PREDICTED: Bombus terrestris splicing factor 3B subunit 4 (LOC100645924), mRNA
XM_020866118.2	PREDICTED: Bombus terrestris uncharacterized LOC100646876 (LOC100646876), mRNA
XM_020866120.2	PREDICTED: Bombus terrestris homeodomain-interacting protein kinase 2 (LOC100646216), transcript variant X4, mRNA
XM_020866123.2	PREDICTED: Bombus terrestris homeodomain-interacting protein kinase 2 (LOC100646216), transcript variant X5, mRNA
XM_020866127.2	PREDICTED: Bombus terrestris homeodomain-interacting protein kinase 2 (LOC100646216), transcript variant X6, mRNA
XM_020866129.2	PREDICTED: Bombus terrestris homeodomain-interacting protein kinase 2 (LOC100646216), transcript variant X8, mRNA
XM_020866132.2	PREDICTED: Bombus terrestris homeodomain-interacting protein kinase 2 (LOC100646216), transcript variant X10, mRNA
XM_020866133.2	PREDICTED: Bombus terrestris NF-kappa-B essential modulator (LOC100648721), transcript variant X4, mRNA
XM_020866134.2	PREDICTED: Bombus terrestris homeodomain-interacting protein kinase 2 (LOC100646216), transcript variant X9, mRNA
XM_020866136.2	PREDICTED: Bombus terrestris probable cytochrome P450 6a14 (LOC100648257), transcript variant X2, mRNA
XM_020866137.2	PREDICTED: Bombus terrestris probable cytochrome P450 6a14 (LOC100648029), transcript variant X2, mRNA
XM_020866143.2	PREDICTED: Bombus terrestris broad-complex core protein isoforms 1/2/3/4/5 (LOC100651260), transcript variant X5, mRNA
XM_020866146.2	PREDICTED: Bombus terrestris broad-complex core protein isoforms 1/2/3/4/5 (LOC100651260), transcript variant X10, mRNA
XM_020866149.2	PREDICTED: Bombus terrestris homeodomain-interacting protein kinase 2 (LOC100646216), transcript variant X14, mRNA
XM_020866153.2	PREDICTED: Bombus terrestris protein drumstick (LOC100645174), transcript variant X3, mRNA
XM_020866155.2	PREDICTED: Bombus terrestris protein drumstick (LOC100645174), transcript variant X1, mRNA
XM_020866157.2	PREDICTED: Bombus terrestris homeodomain-interacting protein kinase 2 (LOC100646216), transcript variant X16, mRNA
XM_020866160.2	PREDICTED: Bombus terrestris 5-hydroxytryptamine receptor (LOC100647940), transcript variant X6, mRNA
XM_020866168.2	PREDICTED: Bombus terrestris transcription factor Sp3-like (LOC100650899), mRNA
XM_020866174.2	PREDICTED: Bombus terrestris MD-2-related lipid-recognition protein (LOC100649270), transcript variant X1, mRNA
XM_020866177.2	PREDICTED: Bombus terrestris facilitated trehalose transporter Tret1 (LOC100642655), transcript variant X9, mRNA
XM_020866188.2	PREDICTED: Bombus terrestris ankyrin repeat and death domain-containing protein 1A (LOC100646799), transcript variant X2, mRNA
XM_020866189.2	PREDICTED: Bombus terrestris F-box only protein 43 (LOC100646633), transcript variant X3, mRNA
XM_020866194.2	PREDICTED: Bombus terrestris uncharacterized LOC110119814 (LOC110119814), mRNA
XM_020866195.2	PREDICTED: Bombus terrestris uncharacterized LOC100651894 (LOC100651894), mRNA
XM_020866198.2	PREDICTED: Bombus terrestris serine-rich adhesin for platelets (LOC100651499), transcript variant X3, mRNA
XM_020866199.2	PREDICTED: Bombus terrestris troponin I (LOC100642480), transcript variant X3, mRNA
XM_020866200.2	PREDICTED: Bombus terrestris borealin (LOC100648413), mRNA
XM_020866203.2	PREDICTED: Bombus terrestris serine proteinase stubble (LOC100645137), transcript variant X2, mRNA
XM_020866209.2	PREDICTED: Bombus terrestris lysophosphatidylserine lipase ABHD12 (LOC100649721), transcript variant X1, mRNA
XM_020866212.2	PREDICTED: Bombus terrestris probable nuclear hormone receptor HR38 (LOC100642535), transcript variant X3, mRNA
XM_020866213.2	PREDICTED: Bombus terrestris carcinine transporter (LOC100642772), transcript variant X1, mRNA
XM_020866214.2	PREDICTED: Bombus terrestris carcinine transporter (LOC100642772), transcript variant X2, mRNA
XM_020866216.2	PREDICTED: Bombus terrestris obg-like ATPase 1 (LOC100646722), transcript variant X2, mRNA
XM_020866218.2	PREDICTED: Bombus terrestris DNA repair protein REV1 (LOC105665615), transcript variant X2, mRNA
XM_020866220.2	PREDICTED: Bombus terrestris WD repeat, SAM and U-box domain-containing protein 1 (LOC100650976), transcript variant X2, mRNA
XM_020866221.2	PREDICTED: Bombus terrestris WD repeat, SAM and U-box domain-containing protein 1 (LOC100650976), transcript variant X1, mRNA
XM_020866223.2	PREDICTED: Bombus terrestris cytochrome P450 306a1 (LOC100650054), transcript variant X3, mRNA
XM_020866228.2	PREDICTED: Bombus terrestris serine proteinase stubble (LOC100652014), transcript variant X1, mRNA
XM_020866229.2	PREDICTED: Bombus terrestris protein abrupt (LOC100645536), transcript variant X5, mRNA
XM_020866230.2	PREDICTED: Bombus terrestris protein abrupt (LOC100645536), transcript variant X6, mRNA
XM_020866231.2	PREDICTED: Bombus terrestris protein abrupt (LOC100645536), transcript variant X4, mRNA
XM_020866233.2	PREDICTED: Bombus terrestris protein abrupt (LOC100645536), transcript variant X7, mRNA
XM_020866234.2	PREDICTED: Bombus terrestris protein abrupt (LOC100645536), transcript variant X11, mRNA
